id,Вид услуги,Категория услуги,isFree
496528_101hotels,Антисептик,Профилактика covid-19,0.0
496528_101hotels,Услуги мангальной зоны,Инфраструктура,0.0
496528_101hotels,Беседка,Инфраструктура,0.0
496528_101hotels,Меры против covid-19,Профилактика covid-19,0.0
496528_101hotels,Экскурсия на велосипедах,Экскурсии,0.0
496528_101hotels,Прокат велосипеда,Услуги проката,0.0
496528_101hotels,Конные экскурсии,Экскурсии,0.0
496528_101hotels,Разрешено проведение мероприятий,Правила проживания,0.0
496528_101hotels,Вид на байкал,Вид,0.0
496528_101hotels,Видеонаблюдение,Безопасность,0.0
496528_101hotels,Водонагреватель,Удобства в номерах,0.0
496528_101hotels,Кухонные принадлежности,Удобства в номерах,0.0
496528_101hotels,Уборка,Профилактика covid-19,0.0
496528_101hotels,Датчики дыма,Безопасность,0.0
496528_101hotels,,,0.0
496528_101hotels,Дезинфекция,Профилактика covid-19,0.0
496528_101hotels,Медицинские услуги,Медицинские услуги,0.0
496528_101hotels,Обслуживание номеров,Бытовые услуги,0.0
496528_101hotels,Звукоизолированные номера,Удобства в номерах,0.0
496528_101hotels,Камера хранения,Инфраструктура,0.0
496528_101hotels,Качели,Развлечения и спорт,0.0
496528_101hotels,Охрана,Безопасность,0.0
496528_101hotels,Стойка регистрации,Правила проживания,0.0
496528_101hotels,Курение запрещено,Правила проживания,0.0
496528_101hotels,Места для курения,Инфраструктура,0.0
496528_101hotels,Микроволновая печь,Удобства в номерах,0.0
496528_101hotels,Безналичная оплата,Профилактика covid-19,0.0
496528_101hotels,Для детей,Удобства для детей,0.0
496528_101hotels,Концертные программы,Развлекательные программы,0.0
496528_101hotels,Номера для некурящих,Правила проживания,0.0
496528_101hotels,Номера для некурящих,Удобства в номерах,0.0
496528_101hotels,Огнетушители,Безопасность,0.0
496528_101hotels,Отопление,Удобства в номерах,0.0
496528_101hotels,Первая береговая линия,Инфраструктура,0.0
496528_101hotels,Пешие экскурсии,Экскурсии,0.0
496528_101hotels,Аптечка,Медицинские услуги,0.0
496528_101hotels,Прачечные услуги,Бытовые услуги,0.0
496528_101hotels,Гладильные услуги,Бытовые услуги,0.0
496528_101hotels,Бесконтактный заезд и отъезд,Профилактика covid-19,0.0
496528_101hotels,Прокат автомобилей,Услуги проката,0.0
496528_101hotels,Прямая трансляция спортивных мероприятий,Развлечения и спорт,0.0
496528_101hotels,Рыбалка,Охота и рыбалка,0.0
496528_101hotels,Безопасность,Безопасность,0.0
496528_101hotels,Терраса,Спа и отдых,0.0
496528_101hotels,Услуги трансфера,Услуги трансфера,-1.0
496528_101hotels,Ускоренная регистрация заезда и отъезда,Правила проживания,0.0
496528_101hotels,Факс,Услуги делового туризма,0.0
496528_101hotels,Экскурсии,Экскурсии,0.0
496528_101hotels,Чайный набор,Питание,0.0
496528_101hotels,Автопарковка,Парковка,0.0
496528_101hotels,Детская игровая площадка,Развлечения для детей,0.0
496528_101hotels,Аренда конференц-зала,,0.0
496528_101hotels,Бассейн детский,Развлечения для детей,0.0
496528_101hotels,Размещение с домашними животными,Правила проживания,0.0
496528_101hotels,Спа услуги,Спа и отдых,0.0
496528_101hotels,Холодильник,Удобства в номерах,0.0
249578_101hotels,Антисептик,Профилактика covid-19,0.0
249578_101hotels,Ресторан,Питание,0.0
249578_101hotels,Бар,Питание,0.0
249578_101hotels,Услуги мангальной зоны,Инфраструктура,0.0
249578_101hotels,Меры против covid-19,Профилактика covid-19,0.0
249578_101hotels,Конные экскурсии,Экскурсии,0.0
249578_101hotels,Видеонаблюдение,Безопасность,0.0
249578_101hotels,Кухонные принадлежности,Удобства в номерах,0.0
249578_101hotels,Уборка,Профилактика covid-19,0.0
249578_101hotels,Датчики дыма,Безопасность,0.0
249578_101hotels,Дезинфекция,Профилактика covid-19,0.0
249578_101hotels,Медицинские услуги,Медицинские услуги,0.0
249578_101hotels,Стойка регистрации,Правила проживания,0.0
249578_101hotels,Курение запрещено,Правила проживания,0.0
249578_101hotels,Места для курения,Инфраструктура,0.0
249578_101hotels,Безналичная оплата,Профилактика covid-19,0.0
249578_101hotels,Для детей,Удобства для детей,0.0
249578_101hotels,Номера для некурящих,Правила проживания,0.0
249578_101hotels,Номера для некурящих,Удобства в номерах,0.0
249578_101hotels,Огнетушители,Безопасность,0.0
249578_101hotels,Отопление,Удобства в номерах,0.0
249578_101hotels,Аптечка,Медицинские услуги,0.0
249578_101hotels,Прачечные услуги,Бытовые услуги,0.0
249578_101hotels,Рыбалка,Охота и рыбалка,0.0
249578_101hotels,Безопасность,Безопасность,0.0
249578_101hotels,Обслуживание номеров,Бытовые услуги,0.0
249578_101hotels,Услуги трансфера,Услуги трансфера,-1.0
249578_101hotels,Питание,Питание,0.0
249578_101hotels,Экскурсии,Экскурсии,0.0
249578_101hotels,Детская игровая площадка,Развлечения для детей,0.0
249578_101hotels,Размещение с домашними животными,Правила проживания,0.0
570584_101hotels,Банные услуги,Спа и отдых,0.0
570584_101hotels,Ресторан,Питание,0.0
570584_101hotels,Бар,Питание,0.0
570584_101hotels,Вид на байкал,Вид,0.0
570584_101hotels,Продажа билетов,Услуги для иностранных граждан,0.0
570584_101hotels,Курение запрещено,Правила проживания,0.0
